data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2023,6,United States,Heroin,2023-06-30,4992.0,
2025-01-05,2023,6,United States,Methamphetamine,2023-06-30,34711.0,
2025-01-05,2023,6,United States,Oxycodone,2023-06-30,4387.0,
2025-01-05,2023,6,United States,Xylazine,2023-06-30,5394.0,
2025-01-05,2023,7,United States,Cocaine,2023-07-31,31758.0,
2025-01-05,2023,7,United States,Fentanyl,2023-07-31,76578.0,
2025-01-05,2023,7,United States,Gabapentin,2023-07-31,4351.0,
2025-01-05,2023,7,United States,Heroin,2023-07-31,4820.0,
2025-01-05,2023,7,United States,Methamphetamine,2023-07-31,34950.0,
2025-01-05,2023,7,United States,Oxycodone,2023-07-31,4335.0,
2025-01-05,2023,7,United States,Xylazine,2023-07-31,5513.0,
2025-01-05,2023,8,United States,Cocaine,2023-08-31,32043.0,
2025-01-05,2023,8,United States,Fentanyl,2023-08-31,76461.0,
2025-01-05,2023,8,United States,Gabapentin,2023-08-31,4325.0,
2025-01-05,2023,8,United States,Heroin,2023-08-31,4663.0,
2025-01-05,2023,8,United States,Methamphetamine,2023-08-31,35205.0,
2025-01-05,2023,8,United States,Oxycodone,2023-08-31,4339.0,
2025-01-05,2023,8,United States,Xylazine,2023-08-31,5654.0,
2025-01-05,2023,9,United States,Cocaine,2023-09-30,32028.0,
2025-01-05,2023,9,United States,Fentanyl,2023-09-30,76099.0,
2025-01-05,2023,9,United States,Gabapentin,2023-09-30,4262.0,
2025-01-05,2023,9,United States,Heroin,2023-09-30,4527.0,
